fecha,afluencia
2011-11-24,4559122
2011-11-25,4847241
2011-11-26,4274413
2011-11-27,2679929
2011-11-28,5664133
2011-11-29,5141269
2011-11-30,5366873
2011-12-01,5286823
2011-12-02,5249476
2011-12-03,4652581
2011-12-04,3092937
2011-12-05,5796432
2011-12-06,5032124
2011-12-07,4829396
2011-12-08,4793034
2011-12-09,5097739
2011-12-10,4599364
2011-12-11,3109118
2011-12-12,4922323
2011-12-13,5054652
2011-12-14,5017383
2011-12-15,5206551
2011-12-16,5366932
2011-12-17,4545779
2011-12-18,3286739
2011-12-19,5336230
2011-12-20,4776092
2011-12-21,4694909
2011-12-22,4565391
2011-12-23,4551188
2011-12-24,3074179
2011-12-25,1712288
2011-12-26,4333387
2011-12-27,4009447
2011-12-28,4075254
2011-12-29,4054373
2011-12-30,4306121
2011-12-31,2989318
2012-01-01,1690227
2012-01-02,4302089
2012-01-03,4437881
2012-01-04,4685222
2012-01-05,4766657
2012-01-06,4318414
2012-01-07,3660211
2012-01-08,2365697
2012-01-09,4922411
2012-01-10,4631588
2012-01-11,4594107
2012-01-12,4579741
2012-01-13,4797559
2012-01-14,3879408
2012-01-15,2442286
2012-01-16,5098063
2012-01-17,4758698
2012-01-18,4760919
2012-01-19,4620362
2012-01-20,4794097
2012-01-21,3910140
2012-01-22,2437513
2012-01-23,5109029
2012-01-24,4766210
2012-01-25,4801348
2012-01-26,4753680
2012-01-27,4996572
2012-01-28,4078028
2012-01-29,2416894
2012-01-30,5234736
2012-01-31,5016976
2012-02-01,5071894
2012-02-02,4809053
2012-02-03,5199666
2012-02-04,4016446
2012-02-05,2415673
2012-02-06,2732237
2012-02-07,5156401
2012-02-08,4919150
2012-02-09,4833236
2012-02-10,4673094
2012-02-11,3886110
2012-02-12,2405388
2012-02-13,5297555
2012-02-14,5085331
2012-02-15,5091259
2012-02-16,5056752
2012-02-17,5149138
2012-02-18,4042178
2012-02-19,2549847
2012-02-20,5283439
2012-02-21,4951198
2012-02-22,4898892
2012-02-23,4884480
2012-02-24,5124438
2012-02-25,3992591
2012-02-26,2485927
2012-02-27,5259841
2012-02-28,5118887
2012-02-29,5129589
2012-03-01,5119407
2012-03-02,5232237
2012-03-03,4326386
2012-03-04,2642026
2012-03-05,5352247
2012-03-06,4973848
2012-03-07,4944621
2012-03-08,4870482
2012-03-09,5031085
2012-03-10,4064305
2012-03-11,2528532
2012-03-12,5224761
2012-03-13,4930084
2012-03-14,5032992
2012-03-15,5212900
2012-03-16,3910622
2012-03-17,4167618
2012-03-18,2518996
2012-03-19,2765055
2012-03-20,4893663
2012-03-21,4784992
2012-03-22,4850773
2012-03-23,5014661
2012-03-24,4040986
2012-03-25,2526515
2012-03-26,5176052
2012-03-27,4924588
2012-03-28,4995507
2012-03-29,4956790
2012-03-30,5263315
2012-03-31,4235294
2012-04-01,2603404
2012-04-02,4587626
2012-04-03,4363340
2012-04-04,4364517
2012-04-05,2783047
2012-04-06,1860485
2012-04-07,2363247
2012-04-08,2045229
2012-04-09,4959849
2012-04-10,4827289
2012-04-11,4833137
2012-04-12,4825320
2012-04-13,5011400
2012-04-14,4058142
2012-04-15,2559298
2012-04-16,5338001
2012-04-17,4930563
2012-04-18,4969672
2012-04-19,4878668
2012-04-20,5034914
2012-04-21,4073540
2012-04-22,2522620
2012-04-23,5205228
2012-04-24,4854924
2012-04-25,4875446
2012-04-26,4821610
2012-04-27,5061909
2012-04-28,4109283
2012-04-29,2570336
2012-04-30,4680042
2012-05-01,2892179
2012-05-02,5160992
2012-05-03,4913368
2012-05-04,5052327
2012-05-05,3927601
2012-05-06,2487795
2012-05-07,5261980
2012-05-08,5007926
2012-05-09,5015274
2012-05-10,4064367
2012-05-11,4930088
2012-05-12,3944745
2012-05-13,2390419
2012-05-14,5168961
2012-05-15,4896330
